T0945_001_0001	T1799_001_0001
T0945_001_0001	T1799_001_0003
T0945_001_0001	T1799_001_0009
T0945_001_0001	T1799_001_0011
T0945_001_0001	T1799_001_0014
T0945_001_0001	T1799_001_0018
T0945_001_0001	T1799_001_0020
T0945_001_0001	T1799_001_0140
T0945_001_0001	T1799_001_0143
T0945_001_0001	T1799_001_0160
T0945_001_0001	T1799_001_0169
T0945_001_0001	T1799_001_0170
T0945_001_0001	T1799_001_0172
T0945_001_0001	T1799_001_0176
T0945_001_0001	T1799_001_0218
T0945_001_0001	T1799_001_0281
T0945_001_0001	T1799_001_0282
T0945_001_0001	T1799_001_0336
T0945_001_0001	T1799_001_0355
T0945_001_0001	T1799_001_0433
T0945_001_0001	T1799_001_0450
T0945_001_0001	T1799_001_0622
T0945_001_0001	T1799_001_0743
T0945_001_0001	T1799_001_0774
T0945_001_0001	T1799_001_0778
T0945_001_0001	T1799_001_0779
T0945_001_0002	T1799_001_0003
T0945_001_0002	T1799_001_0004
T0945_001_0002	T1799_001_0254
T0945_001_0002	T1799_001_0849
T0945_001_0003	T1799_001_0003
T0945_001_0003	T1799_001_0005
T0945_001_0003	T1799_001_0006
T0945_001_0003	T1799_001_0124
T0945_001_0003	T1799_001_0156
T0945_001_0003	T1799_001_0280
T0945_001_0003	T1799_001_0281
T0945_001_0003	T1799_001_0332
T0945_001_0003	T1799_001_0334
T0945_001_0003	T1799_001_0364
T0945_001_0003	T1799_001_0377
T0945_001_0003	T1799_001_0379
T0945_001_0003	T1799_001_0398
T0945_001_0003	T1799_001_0526
T0945_001_0003	T1799_001_0577
T0945_001_0003	T1799_001_0579
T0945_001_0003	T1799_001_0591
T0945_001_0003	T1799_001_0644
T0945_001_0003	T1799_001_0671
T0945_001_0003	T1799_001_0688
T0945_001_0003	T1799_001_0690
T0945_001_0003	T1799_001_0693
T0945_001_0003	T1799_001_0715
T0945_001_0003	T1799_001_0733
T0945_001_0003	T1799_001_0765
T0945_001_0003	T1799_001_0779
T0945_001_0003	T1799_001_0802
T0945_001_0003	T1799_001_0867
T0945_001_0004	T1799_001_0011
T0945_001_0004	T1799_001_0186
T0945_001_0004	T1799_001_0733
T0945_001_0005	T1799_001_0003
T0945_001_0005	T1799_001_0006
T0945_001_0005	T1799_001_0014
T0945_001_0005	T1799_001_0024
T0945_001_0005	T1799_001_0111
T0945_001_0005	T1799_001_0122
T0945_001_0005	T1799_001_0185
T0945_001_0005	T1799_001_0202
T0945_001_0005	T1799_001_0207
T0945_001_0005	T1799_001_0213
T0945_001_0005	T1799_001_0236
T0945_001_0005	T1799_001_0254
T0945_001_0005	T1799_001_0296
T0945_001_0005	T1799_001_0297
T0945_001_0005	T1799_001_0332
T0945_001_0005	T1799_001_0350
T0945_001_0005	T1799_001_0373
T0945_001_0005	T1799_001_0377
T0945_001_0005	T1799_001_0388
T0945_001_0005	T1799_001_0521
T0945_001_0005	T1799_001_0522
T0945_001_0005	T1799_001_0525
T0945_001_0005	T1799_001_0569
T0945_001_0005	T1799_001_0580
T0945_001_0005	T1799_001_0620
T0945_001_0005	T1799_001_0623
T0945_001_0005	T1799_001_0632
T0945_001_0005	T1799_001_0633
T0945_001_0005	T1799_001_0647
T0945_001_0005	T1799_001_0661
T0945_001_0005	T1799_001_0663
T0945_001_0005	T1799_001_0668
T0945_001_0005	T1799_001_0674
T0945_001_0005	T1799_001_0688
T0945_001_0005	T1799_001_0693
T0945_001_0005	T1799_001_0694
T0945_001_0005	T1799_001_0698
T0945_001_0005	T1799_001_0705
T0945_001_0005	T1799_001_0743
T0945_001_0005	T1799_001_0746
T0945_001_0005	T1799_001_0748
T0945_001_0005	T1799_001_0791
T0945_001_0005	T1799_001_0821
T0945_001_0005	T1799_001_0822
T0945_001_0005	T1799_001_0862
T0945_001_0006	T1799_001_0003
T0945_001_0006	T1799_001_0004
T0945_001_0006	T1799_001_0005
T0945_001_0006	T1799_001_0006
T0945_001_0006	T1799_001_0011
T0945_001_0006	T1799_001_0014
T0945_001_0006	T1799_001_0034
T0945_001_0006	T1799_001_0068
T0945_001_0006	T1799_001_0069
T0945_001_0006	T1799_001_0082
T0945_001_0006	T1799_001_0089
T0945_001_0006	T1799_001_0096
T0945_001_0006	T1799_001_0111
T0945_001_0006	T1799_001_0114
T0945_001_0006	T1799_001_0124
T0945_001_0006	T1799_001_0126
T0945_001_0006	T1799_001_0162
T0945_001_0006	T1799_001_0170
T0945_001_0006	T1799_001_0180
T0945_001_0006	T1799_001_0182
T0945_001_0006	T1799_001_0185
T0945_001_0006	T1799_001_0186
T0945_001_0006	T1799_001_0187
T0945_001_0006	T1799_001_0190
T0945_001_0006	T1799_001_0216
T0945_001_0006	T1799_001_0218
T0945_001_0006	T1799_001_0221
T0945_001_0006	T1799_001_0228
T0945_001_0006	T1799_001_0229
